Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1706509838,810,,Aggregated,61.100000,6.000000,2900,4600,5300,6400,8700,10000,13000,14000,14000,14000,14000,4473,401,2900.0,3754.154698613253,1.271598000130325,14442.555794000327,20713.19427677174
1706509839,820,,Aggregated,62.500000,8.200000,3000,4700,5400,6700,9000,10000,13000,14000,15000,15000,15000,4541,409,3000.0,3820.969620894755,1.271598000130325,14709.993454000141,20616.648535564855
1706509840,830,,Aggregated,63.300000,9.400000,3100,4700,5400,6800,9100,10000,13000,14000,15000,15000,15000,4613,429,3100.0,3872.2267616685604,1.271598000130325,15088.665997000135,20625.034034251028
1706509841,840,,Aggregated,64.600000,10.000000,3100,4800,5400,6900,9400,11000,13000,14000,15000,15000,15000,4706,466,3100.0,3915.304165899718,1.1892689999513095,15088.665997000135,20509.045048873777
1706509842,850,,Aggregated,66.400000,11.800000,3200,4900,5500,6900,9600,11000,14000,15000,15000,15000,15000,4783,479,3200.0,3981.430923791781,1.1892689999513095,15238.06698199951,20441.82960485051
1706509843,860,,Aggregated,68.800000,14.400000,3300,4900,5600,7000,9800,11000,14000,15000,15000,15000,15000,4856,490,3300.0,4059.762471422589,1.1892689999513095,15336.642756999936,20351.287479406918
1706509844,870,,Aggregated,70.700000,16.100000,3300,5000,5800,7100,9800,11000,14000,15000,16000,16000,16000,4939,522,3300.0,4108.814458988069,1.1892689999513095,15646.331738000299,20286.747114800568
1706509845,880,,Aggregated,72.100000,16.800000,3300,5000,5900,7300,9900,12000,15000,15000,16000,16000,16000,5030,556,3300.0,4145.469967473573,1.1892689999513095,15867.81384599999,20160.429821073558
1706509846,890,,Aggregated,71.500000,16.200000,3400,5100,6000,7300,10000,12000,15000,15000,16000,16000,16000,5113,578,3400.0,4199.0684250272,1.1892689999513095,15892.695448000268,20065.046939174652
1706509847,900,,Aggregated,74.700000,18.600000,3400,5100,6000,7400,10000,12000,15000,16000,16000,16000,16000,5203,611,3400.0,4242.418479398626,1.1892689999513095,16030.79932699984,19946.068229867386
